Compañía,,Reporte,Resultados 2T15,Expectativa 2T15,Variación,Resultados 2T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 2T15 (A),Expectativa 2T15 (B),Variación (%) (A/B),Resultados 2T14 (C ),Variación (%) (A/C),14,8,8,30,NOTA,REPORTE
ALFA,Alfa,21/07/2015,"10,030","8,171",22.75,"6,625",51.40,1,,,,http://www.elfinanciero.com.mx/empresas/carne-y-plastico-dan-color-a-flujo-de-alfa-sube-28-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610571_2015-02_1.pdf
ALPEK,Alpek,21/07/2015,"2,993","1,982",51.01,"1,634",83.17,1,,,,http://www.elfinanciero.com.mx/empresas/revaluacion-del-paraxileno-dispara-flujo-de-alpek-aumenta-55-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610563_2015-02_1.pdf
ALSEA*,Alsea,22/07/2015,998,945,5.61,618,61.49,1,,,,http://www.elfinanciero.com.mx/empresas/adquisiciones-alimentan-a-alsea-en-2t15-ventas-aumentan-49.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611021_2015-02_1.pdf
AMX,América Móvil,16/07/2015,"68,333","68,055",0.41,"71,899",-4.96,,,1,,http://www.elfinanciero.com.mx/empresas/regulaciones-y-competencia-en-mexico-pegan-a-amovil-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_609820_2015-02_1.pdf
AC,ArcaContinental,15/07/2015,"4,302","4,001",7.52,"3,824",12.50,1,,,,http://www.elfinanciero.com.mx/empresas/arca-continental-aumenta-12-su-flujo-operativo-durante-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_609493_2015-02_1.pdf
BOLSA,Bolsa Mexicana de Valores,21/07/2015,320,295,8.47,255,25.49,1,,,,http://www.elfinanciero.com.mx/economia/ingresos-de-bolsa-crecen-26-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610652_2015-02_1.pdf
CEMEX,Cemex,22/07/2015,"11,502","10,208",12.68,"9,560",20.31,1,,,,http://www.elfinanciero.com.mx/empresas/tipo-de-cambio-impacta-a-cemex-ebitda-crece-y-ventas-caen.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610724_2015-02_1.pdf
KOF,Coca-Cola Femsa,23/07/2015,"7,386","7,667",-3.67,"8,242",-10.39,,1,,,http://www.elfinanciero.com.mx/empresas/ventas-de-coca-cola-femsa-caen-11-en-2t14.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611151_2015-02_1.pdf
COMERCI,Controladora Comercial Mexicana,22/07/2015,"1,053","1,050",0.29,"1,075",-2.05,,,1,,http://www.elfinanciero.com.mx/empresas/la-comer-disminuye-sus-ventas-durante-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611064_2015-02_1.pdf
