Compañía,,Reporte,Resultados 2T15,Expectativa 2T15,Variación,Resultados 2T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 2T15 (A),Expectativa 2T15 (B),Variación (%) (A/B),Resultados 2T14 (C ),Variación (%) (A/C),7,6,17,30,NOTA,REPORTE
ALFA,Alfa,21/07/2015,"64,592","63,462",1.78,"52,326",23.44,,,1,,http://www.elfinanciero.com.mx/empresas/carne-y-plastico-dan-color-a-flujo-de-alfa-sube-28-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610571_2015-02_1.pdf
ALPEK,Alpek,21/07/2015,"21,399","20,758",3.09,"8,360",155.97,1,,,,http://www.elfinanciero.com.mx/empresas/revaluacion-del-paraxileno-dispara-flujo-de-alpek-aumenta-55-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610563_2015-02_1.pdf
ALSEA*,Alsea,22/07/2015,"7,762","7,678",1.09,"5,203",49.18,,,1,,http://www.elfinanciero.com.mx/empresas/adquisiciones-alimentan-a-alsea-en-2t15-ventas-aumentan-49.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611021_2015-02_1.pdf
AMX,América Móvil,16/07/2015,"219,999","222,524",-1.13,"202,635",8.57,,,1,,http://www.elfinanciero.com.mx/empresas/regulaciones-y-competencia-en-mexico-pegan-a-amovil-en-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_609820_2015-02_1.pdf
AC,ArcaContinental,15/07/2015,"18,045","17,146",5.24,"15,958",13.08,1,,,,http://www.elfinanciero.com.mx/empresas/arca-continental-aumenta-12-su-flujo-operativo-durante-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_609493_2015-02_1.pdf
BOLSA,Bolsa Mexicana de Valores,21/07/2015,640,636,0.63,506,26.48,,,1,,http://www.elfinanciero.com.mx/economia/ingresos-de-bolsa-crecen-26-en-2t-de-2015.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610652_2015-02_1.pdf
CEMEX,Cemex,22/07/2015,"59,386","60,146",-1.26,"53,880",10.22,,,1,,http://www.elfinanciero.com.mx/empresas/tipo-de-cambio-impacta-a-cemex-ebitda-crece-y-ventas-caen.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_610724_2015-02_1.pdf
KOF,Coca-Cola Femsa,23/07/2015,"36,550","36,323",0.62,"41,434",-11.79,,,1,,http://www.elfinanciero.com.mx/empresas/ventas-de-coca-cola-femsa-caen-11-en-2t14.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611151_2015-02_1.pdf
COMERCI,Controladora Comercial Mexicana,22/07/2015,"12,252","12,322",-0.57,"12,455",-1.63,,,1,,http://www.elfinanciero.com.mx/empresas/la-comer-disminuye-sus-ventas-durante-el-2t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_611064_2015-02_1.pdf
