Compañía,,Reporte,Resultados 4T15,Expectativa 4T15,Variación,Resultados 4T14,Variación,SUPERÓ,DECEPCIONÓ,EN LÍNEA,TOTALES,,
Clave de Pizarra,Nombre de la Empresa,Reporte,Resultados 4T15 (A),Expectativa 4T15 (B),Variación (%) (A/B),Resultados 4T14 (C ),Variación (%) (A/C),9,4,3,16,NOTA,REPORTE
ALFA,Alfa,10 Febrero,162,840,-80.71,"-6,371",nd,,1,,,http://www.elfinanciero.com.mx/empresas/alfa-ve-aumento-de-flujo-operativo-en-todos-sus-negocios-menos-newpek.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647045_2015-04_1.pdf
ALSEA,Alsea,11 Febrero,470,385,22.08,297,58.00,1,,,,http://www.elfinanciero.com.mx/empresas/alsea-sazona-resultados-en-4t15-crecen-flujos-31-y-ventas-13.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647449_2015-04_1.pdf
AMX,América Móvil,9 Febrero,"15,663","10,030",56.16,"3,612",333.64,1,,,,http://www.elfinanciero.com.mx/empresas/flujo-operativo-de-america-movil-cae.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_646954_2015-04_1.pdf
AC,ArcaContinental,19 Febrero,"1,655","1,629",1.60,"1,583",4.55,,,1,,http://www.elfinanciero.com.mx/empresas/lindley-impulsa-a-arca-continental-en-4t15-ventas-crecen-39.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_648684_2015-04_1.pdf
CEMEX,Cemex,4 Febrero,"2,656","-2,398",nd,"-2,456",nd,1,,,,http://www.elfinanciero.com.mx/empresas/cemex-gana-por-primera-vez-en-anos-suma-utilidad-de-75-mdd-en-2015.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_646119_2015-04_1.pdf
KOF,Coca-Cola Femsa,23 Febrero,,"3,099",,"3,075",,,,,,,
FEMSA,Femsa,24 Febrero,,"7,182",,"7,254",,,,,,,
LAB,Genomma Lab Internacional,26 Febrero,,205,,511,,,,,,,
GRUMA,Gruma,25 Febrero,,"-3,009",,"1,376",,,,,,,
OMA,Grupo Aeroportuario del Centro Norte,29 Febrero,,302,,284,,,,,,,
GAP,Grupo Aeroportuario del Pacífico,25 Febrero,,593,,627,,,,,,,
ASUR,Grupo Aeroportuario del Sureste,22 Febrero,731,668,9.43,513,42.50,1,,,,http://www.elfinanciero.com.mx/empresas/asur-aumenta-24-flujo-operativo-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649170_2015-04_1.pdf
BIMBO,Grupo Bimbo,25 Febrero,,"2,023",,-231,,,,,,,
GCARSO,Grupo Carso,25 Febrero,,"1,890",,"1,289",,,,,,,
ELEKTRA,Grupo Elektra,24 Febrero,,965,,"6,783",,,,,,,
GMEXICO*,Grupo México,10 Febrero,161,229,-29.69,357,-54.90,,1,,,http://www.elfinanciero.com.mx/empresas/cae-24-flujo-de-gmexico-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_647242_2015-04_1.pdf
SIMEC,Grupo Simec,26 Febrero,,295,,21,,,,,,,
ICA,ICA,26 Febrero,,-705,,"-2,082",,,,,,,
IENOVA,IEnova,23 Febrero,,612,,-177,,,,,,,
ICH,Industrias CH,26 Febrero,,275,,165,,,,,,,
PE&OLES,Industrias Peñoles,1 Marzo,,748,,"-1,589",,,,,,,
KIMBER,Kimberly Clark de México,21 Enero,"1,211","1,180",2.63,885,36.84,,,1,,http://www.elfinanciero.com.mx/empresas/kimberly-crece-25-ebitda-y-11-ventas-en-4t15-por-aumento-en-precios.html,http://www.bmv.com.mx/docs-pub/eventore/eventore_643775_2.pdf
LACOMER,La Comer,26 Febrero,,555,,570,,,,,,,
LALA,Lala,22 Febrero,"1,020","1,004",1.59,711,43.46,,,1,,http://www.elfinanciero.com.mx/empresas/operaciones-en-mexico-y-nicaragueense-eskimo-impulsan-a-lala-en-4t15.html,http://www.bmv.com.mx/docs-pub/infoifrs/infoifrs_649155_2015-04_1.pdf
LIVEPOL,Liverpool,25 Febrero,,"4,231",,"3,891",,,,,,,
MEXCHEM,Mexichem,24 Febrero,,291,,-547,,,,,,,
